,name,headline,date,change
0,KB금융,자기자본 4조원대 KB증권 출범,2017-01-02,0
1,KB금융,[서울경제TV][투데이포커스] CEO 신년사로 본 올해 금융권 비전은,2017-01-02,0
2,KB금융,"LIG투자증권, 케이프투자증권으로 새 출발",2017-01-02,0
3,KB금융,"통합 KB증권 출범…""글로벌 금융투자회사로 도약""",2017-01-02,0
4,KB금융,'자기자본 4조' 통합 KB증권 공식 출범,2017-01-02,0
5,KB금융,"[신년사로 본 금융권 경영화두] 금융지주 ""계열사 협업으로 위기넘자""",2017-01-02,0
6,KB금융,"4대 금융지주·우리은행 ""올 핵심전략은 디지털 강화·그룹 시너지 확대""",2017-01-02,0
7,KB금융,"초대형 IB, 경쟁 본격화‥쩐의 전쟁 시작",2017-01-02,0
8,KB금융,"[증권사 신년 경영전략] 박현주 ""야성적 투자로 제2창업""",2017-01-02,0
9,KB금융,"통합 KB증권 공식 출범…""아시아 금융시장 선도""",2017-01-02,0
10,KB금융,"'초대형IB' 통합 KB증권 공식 출범…""亞 금융시장 선도""(종합)",2017-01-02,0
11,KB금융,금융사 올 경영 키워드는 ‘디지털’ ‘시너지’,2017-01-02,0
12,KB금융,"'정유년' 금융권 화두, '리스크 관리와 디지털 혁신'",2017-01-02,0
13,KB금융,"[2017 한국경제 새로운 도전] 증권업계, 속도와 혁신 '변해야 산다'",2017-01-02,0
14,KB금융,"금융당국 ""올해 금투업권 위험관리 선제대응 나서야""",2017-01-02,0
15,KB금융,"""디지털 금융 혁신으로 저성장 파고 넘는다""",2017-01-02,0
16,KB금융,[포토]통합 KB證 출범…“은행·증권 시너지 창출 주력”,2017-01-02,0
17,KB금융,"현대자산운용, 이현승 대표 선임",2017-01-02,0
18,KB금융,KB증권 출범식 기사 사진,2017-01-02,0
19,KB금융,금융권 신년사 화두는 ‘위기 속 도약’,2017-01-02,0
20,KB금융,새 수익 찾는 은행들… '액티브 시니어' 눈독,2017-01-03,1
21,KB금융,"신한금융지주, 9년만에 금융권 순익 1위자리 내주나",2017-01-03,1
22,KB금융,[마켓인사이트] '희비' 엇갈리는 KB금융-KB손해보험 주주들,2017-01-03,1
23,KB금융,[기획] 인터넷전문은행 이르면 이달말 문 연다,2017-01-03,1
24,KB금융,2017년 금융시장 이끌 '다산금융상' 수상자,2017-01-03,1
25,KB금융,[불붙은 '금융 모바일플랫폼 전쟁']증강현실 게임서 번역 서비스까지...금융 넘어...,2017-01-03,1
26,KB금융,불붙은 '금융 모바일 플랫폼 전쟁',2017-01-03,1
27,KB금융,"""올해 크레바스처럼 예측 불가…국회서 은산분리 규제부터 풀어달라""",2017-01-03,1
28,KB금융,금융권 올해 화두는 '리스크 관리'…불확실성 높아(상보),2017-01-03,1
29,KB금융,"""대체투자 업계1위 탈환 주식형펀드도 부활노려""",2017-01-03,1
30,KB금융,KB증권 통합기념 이벤트,2017-01-04,1
31,KB금융,"""KB금융 비은행 부문 실적개선 기대""",2017-01-04,1
32,KB금융,"[IMF 20년, 무엇이 달라졌나 (3)금융] 핀테크시대, 디지털뱅크로 ‘또 한번...",2017-01-04,1
33,KB금융,"KB국민은행, 홍콩현지법인 지점전환으로 CIB영업 강화",2017-01-04,1
34,KB금융,"KB국민은행, 홍콩법인 지점전환으로 CIB영업 강화",2017-01-04,1
35,KB금융,"[마감시황]코스피, 개인·외인 매수에 2040선 중반대…소폭 상승",2017-01-04,1
36,KB금융,"[시황종합]코스피, 외인 '사자' 연일 상승... 코스닥 640선 턱밑",2017-01-04,1
37,KB금융,"[마감]코스피, 이틀째 상승‥외국인·개인 합심 통했다",2017-01-04,1
38,KB금융,"KB국민은행, 홍콩현지법인 지점 전환…CIB영업 강화",2017-01-04,1
39,KB금융,"""해도 너무해"" 꿈쩍않는 은행 예금금리…대출금리 인상 '대조'",2017-01-04,1
40,KB금융,"KB국민은행 홍콩 법인, 지점으로 전환..아시아 공략 전초기지로",2017-01-04,1
41,KB금융,"KB국민은행, `홍콩현지법인` 지점으로 전환",2017-01-04,1
42,KB금융,"KB증권, 출범 기념 상품 가입 이벤트 실시",2017-01-04,1
43,KB금융,코스피 보합권서 횡보... 코스닥 6일째 상승,2017-01-04,1
44,KB금융,정유년 '금융 대전' 관전 포인트는,2017-01-04,1
45,KB금융,"KB증권, 통합 기념 협업 자산관리 상품 은행·증권서 동시 판매",2017-01-04,1
46,KB금융,"[로봇뉴스]하나금융지주_거래비중 기관 29.27%, 외국인 53.76%",2017-01-04,1
