,name,headline,date,change
0,LG화학,"中, 노골적 사드 보복…한국 배터리 배제",2017-01-02,0
1,LG화학,"정유년 첫날 증시, 중국주 대거 급락",2017-01-02,0
2,LG화학,[장 마감 후 기업공시]1월2일,2017-01-02,0
3,LG화학,[여의도 stock] 중국 ‘무역보복’에 흔들린 새해 증시,2017-01-02,0
4,LG화학,"韓 배터리차만 쏙 뺀 中 ""답답하지만 지켜볼 수 밖에""",2017-01-02,0
5,LG화학,"LG ""LG생명과학, 자회사서 제외""",2017-01-02,0
6,LG화학,"코스피, 기관 매도에 약보합 마감…中 리스크 '움찔'",2017-01-02,0
7,LG화학,中 전방위 사드보복.. 전기차배터리·항공株 직격탄,2017-01-02,0
8,LG화학,"김준 SK이노 사장 ""과감한 M&A로 신사업 확대""···조남성 삼성SDI 사장 ""...",2017-01-02,0
9,LG화학,삼성전자 사상최대 35조 이익낸다,2017-01-02,0
10,LG화학,"LG화학, LG생명과학 등 4개 사업본부로 확대",2017-01-02,0
11,LG화학,"M&A로 덩치 키운 LG화학, 신성장동력 사업 강화 나서",2017-01-02,0
12,LG화학,"LG ""LG생명과학, 자회사에서 탈퇴""",2017-01-02,0
13,LG화학,"LG, LG생명과학 자회사서 제외",2017-01-02,0
14,LG화학,"LG화학, 합병으로 LG·연암문화재단 보유 주식 증가",2017-01-02,0
15,LG화학,"LG화학, LG생명과학을 사업본부로 흡수 조직개편",2017-01-02,0
16,LG화학,"LG화학, 생명과학사업본부 신설…LG생명과학 합병 후속조치",2017-01-02,0
17,LG화학,"LG생명과학 품은 LG화학, 생명과학사업본부 신설",2017-01-02,0
18,LG화학,"산업계, 새해부터 중국 '사드 보복'에 곤욕",2017-01-02,0
19,LG화학,"전자·화학 수장들 ""수익성 기반 1등 기업 도약""",2017-01-02,0
20,LG화학,"오랜만이다, 너 '차화정'",2017-01-03,1
21,LG화학,수요증가·중 생산량 조정으로 호실적,2017-01-03,1
22,LG화학,[이슈] ② 재계 생존 전략은 '불황 속 공격 경영',2017-01-03,1
23,LG화학,[마켓뷰] 2040 넘은 코스피…삼성전자 또 신고가 경신,2017-01-03,1
24,LG화학,"삼성SDI, 갤럭시S8에도 배터리 공급한다",2017-01-03,1
25,LG화학,"코스피, 중국 제조업 호조·삼성전자 최고가로 2040선 회복",2017-01-03,1
26,LG화학,[시황종합]코스피 2040대 안착... 삼성電 사상최고가,2017-01-03,1
27,LG화학,"[마감시황]코스피, 中 PMI지수 호조에 2040선 돌파",2017-01-03,1
28,LG화학,"[마감]코스피, 2040선 재진입…삼성전자 또 '사상 최고가'",2017-01-03,1
29,LG화학,[증권]스몰캡 관심주 - 엘앤에프,2017-01-03,1
30,LG화학,"LG전자, CES서 무선청소기 신제품 3종 공개",2017-01-03,1
31,LG화학,"정유화학업계 올해 '변화' 초점…""바뀌어야 산다""",2017-01-03,1
32,LG화학,"코스피, 2040선 턱밑… 삼성電 최고가 '183만1000원'",2017-01-03,1
33,LG화학,"[1시 지금 주식시장은]코스피, 中 PMI지수 호조에 상승폭 확대",2017-01-03,1
34,LG화학,"코스피, '실적 기대감' 대형주 중심으로 '오름세'",2017-01-03,1
35,LG화학,"[마켓뷰] '실적 기대감' IT·화학·자동차, 코스피 상승 주도",2017-01-03,1
