,name,headline,date,change
0,NAVER,선도농업을 실천한 가장 모범적인 농업인으로 선정돼,2017-01-02,1
1,NAVER,"코스피, 기관 매도세에 '약보합'… 2026.16 마감",2017-01-02,1
2,NAVER,"코스피·코스닥, 등락 반복 끝에…약보합 장 마감",2017-01-02,1
3,NAVER,"[마감]코스피, 새해 첫날 하락…'1월 효과' 약발 약했다",2017-01-02,1
4,NAVER,[마감시황] 새해 첫 증시…코스피ㆍ코스닥 ‘눈치보기’ 보합권,2017-01-02,1
5,NAVER,"개미(개인투자자)들, 지난해에도 '쪽박'…코스피 상위 20개 종목 평균 수익률 -...",2017-01-02,1
6,NAVER,[마켓뷰] 우려·기대 공존하는 한국 증시,2017-01-02,1
7,NAVER,"[오늘의포인트]2017년 첫날, 코스피 색깔은",2017-01-02,1
8,NAVER,2016 평균 수익률… 개인 -33.07% < 외국인 2.23% < 기관 15.6...,2017-01-02,1
9,NAVER,"[오전시황] 코스피, 정유년 첫 거래일 상승 반전… 2030선 ‘탈환’",2017-01-02,1
10,NAVER,"코스피, 상승 반전…외국인 매도세 약화",2017-01-02,1
11,NAVER,"새해 첫날 코스피, 상승 반전...코스닥 강보합",2017-01-02,1
12,NAVER,"[신년사]강대석 신한금융투자 사장 ""자본시장 톱3 추구""",2017-01-02,1
13,NAVER,새해 첫날 코스피지수 하락 출발…외국인·기관 매도 행렬,2017-01-02,1
14,NAVER,"[개장시황] 코스피, 새해 첫 개장날 외국인ㆍ기관 동반 ‘팔자세’… 2010선 ‘...",2017-01-02,1
15,NAVER,"코스피, 새해 첫날 외인·기관 '팔자'에 2020선 하회",2017-01-02,1
16,NAVER,"코스피, 새해 첫날 하락 출발…'2020선 밑으로'",2017-01-02,1
17,NAVER,"[개장시황]정유년 첫 개장일 코스피, 하락 출발 후 2010선 후반 약보합",2017-01-02,1
18,NAVER,"[Hot-Line] ""NAVER, 쇼핑 검색 광고 시작…4분기 실적 양호""",2017-01-02,1
19,NAVER,"NAVER, 광고 부문 성장둔화 우려는 기우 '매수'-한국",2017-01-02,1
20,NAVER,"5번째, ‘소년·소녀 가장을 위해 사용 해 달라’ 쪽지 남겨",2017-01-03,0
21,NAVER,"""쉽게 사람 수 셀 수 없나?"" 아이디어로 창업 도전",2017-01-03,0
22,NAVER,"""쉽게 사람 수 셀 수 없나?"" 아이디어로 창업 도전",2017-01-03,0
23,NAVER,"""쉽게 사람 수 셀 수 없나?"" 아이디어로 창업 도전",2017-01-03,0
24,NAVER,"정현복 광양시장, 언론인 초청 기자간담회 가져",2017-01-03,0
25,NAVER,"코스피, 외국인 매수세에 '2040선' 돌파",2017-01-03,0
26,NAVER,[시황종합]코스피 2040대 안착... 삼성電 사상최고가,2017-01-03,0
27,NAVER,"[마감시황]코스피, 中 PMI지수 호조에 2040선 돌파",2017-01-03,0
28,NAVER,"[마감시황]삼성전자 사상최고가 경신행진, 코스피 1월효과 톡톡히… 2043 마감",2017-01-03,0
29,NAVER,"[마감]코스피, 2040선 재진입…삼성전자 또 '사상 최고가'",2017-01-03,0
30,NAVER,"코스피, 2040선 턱밑… 삼성電 최고가 '183만1000원'",2017-01-03,0
31,NAVER,"[1시 지금 주식시장은]코스피, 中 PMI지수 호조에 상승폭 확대",2017-01-03,0
32,NAVER,"글로벌 증시, 새해 산뜻한 첫발…`1월효과` 기대",2017-01-03,0
33,NAVER,"[오전시황] 코스피, 개인ㆍ외국인 동반 ‘사자’에… 2030선 ‘껑충’",2017-01-03,0
34,NAVER,외인 닷새째 순매수에 코스피 상승세...2030대,2017-01-03,0
35,NAVER,"코스피·코스닥 상승 출발…개인 매수, 외인·기관 매도",2017-01-03,0
36,NAVER,"코스피, 외인 '사자'에 상승 개장... 2030대 재진입",2017-01-03,0
37,NAVER,"코스피, 상승 출발…2030선 안착 시도",2017-01-03,0
38,NAVER,"[개장시황]코스피, 개인 매수에 '상승' 출발…2030선 강보합",2017-01-03,0
39,NAVER,"2016 증시 '개미는 쪽박, 기관은 짭짤'",2017-01-03,0
40,NAVER,합천사랑상품권 설맞이 10% 특별 할인 SALE !!,2017-01-04,1
41,NAVER,썰매 무료 제공 및 간단한 먹거리 장터 운영,2017-01-04,1
42,NAVER,"함양군, 서하면 곶감경매장 일원서 판매·체험·전시 등 50여개 행사 풍성",2017-01-04,1
