,name,headline,date,change
0,POSCO,[신년사] 권오준 포스코 회장 “마부정제로 50년 준비하자”,2017-01-02,1
1,POSCO,"절박한 재계 ""뼛속까지 바꿔야 산다""",2017-01-02,1
2,POSCO,"허창수, 진화 DNA…김승연, 4차산업 선점",2017-01-02,1
3,POSCO,[마켓뷰] 수출주·대형주 오르고 中 관련주 내렸다,2017-01-02,1
4,POSCO,"[로봇뉴스]POSCO, ""단기 실적 우려보다…"" 매수(유지)-신한금융투자",2017-01-02,1
5,POSCO,"코스피·코스닥, 등락 반복 끝에…약보합 장 마감",2017-01-02,1
6,POSCO,"권오준 ""마부정제의 마음으로"" 구자열 ""디지털 트랜스포메이션 구체화"" 신년사",2017-01-02,1
7,POSCO,"[2017 신년사] 권오준 포스코 회장 ""내가 곧 포스코""",2017-01-02,1
8,POSCO,"[마감]코스피, 새해 첫날 하락…'1월 효과' 약발 약했다",2017-01-02,1
9,POSCO,[마감시황] 새해 첫 증시…코스피ㆍ코스닥 ‘눈치보기’ 보합권,2017-01-02,1
10,POSCO,"권오준 포스코 회장 ""마부정제 마음으로 위대한 포스코 완성""",2017-01-02,1
11,POSCO,[마켓뷰] 우려·기대 공존하는 한국 증시,2017-01-02,1
12,POSCO,"권오준 포스코 회장 ""마부정제(馬不停蹄) 마음으로 다음 50년 준비""",2017-01-02,1
13,POSCO,"[신년사]권오준 포스코 회장 ""구조조정 완성하고 다음 50년 준비""",2017-01-02,1
14,POSCO,"[신년사]권오준 회장, '마부정제(馬不停蹄)' 의 마음가짐 강조",2017-01-02,1
15,POSCO,[2017 신년사] 권오준 포스코 회장 “주인의식 가지고 다음 50년 준비하자”,2017-01-02,1
16,POSCO,"[신년사]권오준 포스코 회장 ""마부정제 마음으로 다음 50년 준비""",2017-01-02,1
17,POSCO,재계 총수들 정유년 경영 화두는 '혁신·쇄신',2017-01-02,1
18,POSCO,"[오늘의포인트]2017년 첫날, 코스피 색깔은",2017-01-02,1
19,POSCO,"[로봇뉴스]포스코켐텍_주가와 거래량은 보통, 투자심리는 약세",2017-01-02,1
20,POSCO,"[마감시황]코스피, 中 PMI지수 호조에 2040선 돌파",2017-01-03,0
21,POSCO,[시황종합]코스피 2040대 안착... 삼성電 사상최고가,2017-01-03,0
22,POSCO,"[마감시황]삼성전자 사상최고가 경신행진, 코스피 1월효과 톡톡히… 2043 마감",2017-01-03,0
23,POSCO,"[마감]코스피, 2040선 재진입…삼성전자 또 '사상 최고가'",2017-01-03,0
24,POSCO,"코스피, 2040선 턱밑… 삼성電 최고가 '183만1000원'",2017-01-03,0
25,POSCO,"광주·전남, 지난해 12월 주식거래량 증가… 대금은 감소",2017-01-03,0
26,POSCO,"[1시 지금 주식시장은]코스피, 中 PMI지수 호조에 상승폭 확대",2017-01-03,0
27,POSCO,[현장에서] ‘POSCO the Great’의 전제조건,2017-01-03,0
