,date,change,name
0,2012-01-02,1,삼성전자
1,2012-01-03,1,삼성전자
2,2012-01-04,0,삼성전자
3,2012-01-05,0,삼성전자
4,2012-01-06,0,삼성전자
5,2012-01-09,0,삼성전자
6,2012-01-10,1,삼성전자
7,2012-01-11,0,삼성전자
8,2012-01-12,1,삼성전자
9,2012-01-13,1,삼성전자
10,2012-01-16,0,삼성전자
11,2012-01-17,1,삼성전자
12,2012-01-18,0,삼성전자
13,2012-01-19,1,삼성전자
14,2012-01-20,1,삼성전자
15,2012-01-25,1,삼성전자
16,2012-01-26,0,삼성전자
17,2012-01-27,1,삼성전자
18,2012-01-30,0,삼성전자
19,2012-01-31,0,삼성전자
20,2012-02-01,0,삼성전자
21,2012-02-02,1,삼성전자
22,2012-02-03,0,삼성전자
23,2012-02-06,1,삼성전자
24,2012-02-07,1,삼성전자
25,2012-02-08,0,삼성전자
26,2012-02-09,0,삼성전자
27,2012-02-10,0,삼성전자
28,2012-02-13,1,삼성전자
29,2012-02-14,0,삼성전자
30,2012-02-15,1,삼성전자
31,2012-02-16,0,삼성전자
32,2012-02-17,1,삼성전자
33,2012-02-20,0,삼성전자
34,2012-02-21,1,삼성전자
35,2012-02-22,1,삼성전자
36,2012-02-23,0,삼성전자
37,2012-02-24,1,삼성전자
38,2012-02-27,0,삼성전자
39,2012-02-28,1,삼성전자
40,2012-02-29,1,삼성전자
41,2012-03-02,0,삼성전자
42,2012-03-05,0,삼성전자
43,2012-03-06,1,삼성전자
44,2012-03-07,0,삼성전자
45,2012-03-08,1,삼성전자
46,2012-03-09,1,삼성전자
47,2012-03-12,0,삼성전자
48,2012-03-13,1,삼성전자
49,2012-03-14,1,삼성전자
50,2012-03-15,0,삼성전자
51,2012-03-16,0,삼성전자
52,2012-03-19,1,삼성전자
53,2012-03-20,1,삼성전자
54,2012-03-21,0,삼성전자
55,2012-03-22,1,삼성전자
56,2012-03-23,1,삼성전자
57,2012-03-26,1,삼성전자
58,2012-03-27,1,삼성전자
59,2012-03-28,0,삼성전자
60,2012-03-29,0,삼성전자
61,2012-03-30,0,삼성전자
62,2012-04-02,1,삼성전자
63,2012-04-03,1,삼성전자
64,2012-04-04,0,삼성전자
65,2012-04-05,1,삼성전자
66,2012-04-06,1,삼성전자
67,2012-04-09,0,삼성전자
68,2012-04-10,0,삼성전자
69,2012-04-12,0,삼성전자
70,2012-04-13,0,삼성전자
71,2012-04-16,0,삼성전자
72,2012-04-17,0,삼성전자
73,2012-04-18,1,삼성전자
74,2012-04-19,1,삼성전자
75,2012-04-20,0,삼성전자
76,2012-04-23,0,삼성전자
77,2012-04-24,1,삼성전자
78,2012-04-25,1,삼성전자
79,2012-04-26,1,삼성전자
80,2012-04-27,1,삼성전자
81,2012-04-30,1,삼성전자
82,2012-05-02,1,삼성전자
83,2012-05-03,0,삼성전자
84,2012-05-04,0,삼성전자
85,2012-05-07,0,삼성전자
86,2012-05-08,0,삼성전자
87,2012-05-09,0,삼성전자
88,2012-05-10,0,삼성전자
89,2012-05-11,0,삼성전자
90,2012-05-14,1,삼성전자
91,2012-05-15,0,삼성전자
92,2012-05-16,0,삼성전자
93,2012-05-17,0,삼성전자
94,2012-05-18,0,삼성전자
95,2012-05-21,1,삼성전자
96,2012-05-22,1,삼성전자
97,2012-05-23,0,삼성전자
98,2012-05-24,1,삼성전자
99,2012-05-25,0,삼성전자
100,2012-05-29,1,삼성전자
101,2012-05-30,0,삼성전자
102,2012-05-31,0,삼성전자
103,2012-06-01,1,삼성전자
104,2012-06-04,0,삼성전자
105,2012-06-05,1,삼성전자
106,2012-06-07,1,삼성전자
